지점,지점명,일시,월합강수량(00~24h만)(mm)
95,철원,1992-05,109.2
95,철원,1992-06,89.9
95,철원,1992-07,205.1
95,철원,1992-08,267.5
95,철원,1992-09,113.1
95,철원,1992-10,51.8
95,철원,1992-11,61.4
95,철원,1992-12,69.1
95,철원,1993-01,5.3
95,철원,1993-02,41.6
95,철원,1993-03,15.2
95,철원,1993-04,68
95,철원,1993-05,163.1
95,철원,1993-06,219.1
95,철원,1993-07,276.6
95,철원,1993-08,137.9
95,철원,1993-09,72.2
95,철원,1993-10,19.5
95,철원,1993-11,64.5
95,철원,1993-12,16.7
95,철원,1994-01,10.8
95,철원,1994-02,12.2
95,철원,1994-03,30.1
95,철원,1994-04,32.5
95,철원,1994-05,136.7
95,철원,1994-06,63.1
95,철원,1994-07,191.9
95,철원,1994-08,391.1
95,철원,1994-09,58.7
95,철원,1994-10,153.1
95,철원,1994-11,38.9
95,철원,1994-12,21.2
95,철원,1995-01,8
95,철원,1995-02,12.6
95,철원,1995-03,65.3
95,철원,1995-04,21.6
95,철원,1995-05,45.4
95,철원,1995-06,60.6
95,철원,1995-07,365.9
95,철원,1995-08,770.1
95,철원,1995-09,115.1
95,철원,1995-10,18.9
95,철원,1995-11,44
95,철원,1995-12,6.9
95,철원,1996-01,20.7
95,철원,1996-02,2.3
95,철원,1996-03,58.8
95,철원,1996-04,48.6
95,철원,1996-05,62.1
95,철원,1996-06,227.2
95,철원,1996-07,745.4
95,철원,1996-08,78.1
95,철원,1996-09,8.1
95,철원,1996-10,56.6
95,철원,1996-11,58.8
95,철원,1996-12,7.9
95,철원,1997-01,30.8
95,철원,1997-02,33.4
95,철원,1997-03,21.2
95,철원,1997-04,39.9
95,철원,1997-05,274.8
95,철원,1997-06,92.3
95,철원,1997-07,224.9
95,철원,1997-08,201.3
95,철원,1997-09,143.9
95,철원,1997-10,40
95,철원,1997-11,68.2
95,철원,1997-12,32.1
95,철원,1998-01,13.9
95,철원,1998-02,38.6
95,철원,1998-03,45.5
95,철원,1998-04,134.6
95,철원,1998-05,141.4
95,철원,1998-06,184.1
95,철원,1998-07,339.9
95,철원,1998-08,539.2
95,철원,1998-09,115.4
95,철원,1998-10,33.5
95,철원,1998-11,63.7
95,철원,1998-12,3
95,철원,1999-01,13.2
95,철원,1999-02,1.2
95,철원,1999-03,48.1
95,철원,1999-04,45.8
95,철원,1999-05,81.2
95,철원,1999-06,66.3
95,철원,1999-07,482.6
95,철원,1999-08,567.5
95,철원,1999-09,244.2
95,철원,1999-10,90.5
95,철원,1999-11,28.3
95,철원,1999-12,10.7
95,철원,2000-01,51.8
95,철원,2000-02,8
95,철원,2000-03,10
95,철원,2000-04,34.3
95,철원,2000-05,85.9
95,철원,2000-06,116.9
95,철원,2000-07,115
95,철원,2000-08,479.6
95,철원,2000-09,163
95,철원,2000-10,16.8
95,철원,2000-11,17.4
95,철원,2000-12,26.5
95,철원,2001-01,27.3
95,철원,2001-02,16.2
95,철원,2001-03,11.4
95,철원,2001-04,12
95,철원,2001-05,13.7
95,철원,2001-06,224.5
95,철원,2001-07,603.3
95,철원,2001-08,229.4
95,철원,2001-09,10.8
95,철원,2001-10,93.6
95,철원,2001-11,20.4
95,철원,2001-12,15
95,철원,2002-01,51.9
95,철원,2002-02,3.2
95,철원,2002-03,37
95,철원,2002-04,159.7
95,철원,2002-05,47.6
95,철원,2002-06,66.5
95,철원,2002-07,249.6
95,철원,2002-08,532.6
95,철원,2002-09,38.5
95,철원,2002-10,60.8
95,철원,2002-11,11.1
95,철원,2002-12,30.8
95,철원,2003-01,19.3
95,철원,2003-02,22.5
95,철원,2003-03,20.6
95,철원,2003-04,119
95,철원,2003-05,54.5
95,철원,2003-06,150.2
95,철원,2003-07,277.7
95,철원,2003-08,756.1
95,철원,2003-09,189.5
95,철원,2003-10,32.3
95,철원,2003-11,71.7
95,철원,2003-12,3.6
95,철원,2004-01,10.9
95,철원,2004-02,83.7
95,철원,2004-03,23.1
95,철원,2004-04,80.5
95,철원,2004-05,126.2
95,철원,2004-06,87.4
95,철원,2004-07,462
95,철원,2004-08,84.3
95,철원,2004-09,206.9
95,철원,2004-10,11.1
95,철원,2004-11,53
95,철원,2004-12,20.5
95,철원,2005-01,3.7
95,철원,2005-02,31.8
95,철원,2005-03,11.8
95,철원,2005-04,92.6
95,철원,2005-05,95.9
95,철원,2005-06,158
95,철원,2005-07,276.2
95,철원,2005-08,331.6
95,철원,2005-09,236.7
95,철원,2005-10,13.3
95,철원,2005-11,63.2
95,철원,2005-12,8.4
95,철원,2006-01,31.8
95,철원,2006-02,12
95,철원,2006-03,19.7
95,철원,2006-04,85.1
95,철원,2006-05,139
95,철원,2006-06,196.5
95,철원,2006-07,638.6
95,철원,2006-08,54.5
95,철원,2006-09,27.8
95,철원,2006-10,61.5
95,철원,2006-11,21.6
95,철원,2006-12,9.9
95,철원,2007-01,8.5
95,철원,2007-02,5
95,철원,2007-03,87.7
95,철원,2007-04,61.5
95,철원,2007-05,165.5
95,철원,2007-06,105.2
95,철원,2007-07,279.8
95,철원,2007-08,493
95,철원,2007-09,243.2
95,철원,2007-10,31.1
95,철원,2007-11,14.7
95,철원,2007-12,12.7
95,철원,2008-01,6.1
95,철원,2008-02,7.7
95,철원,2008-03,59.5
95,철원,2008-04,37.9
95,철원,2008-05,89.3
95,철원,2008-06,117.8
95,철원,2008-07,650.3
95,철원,2008-08,328.4
95,철원,2008-09,114.3
95,철원,2008-10,34.1
95,철원,2008-11,23.6
95,철원,2008-12,35.9
95,철원,2009-01,2.4
